Sentiment_Contrast,File
2.0,demft
0.0,demft
2.0,demft
0.0,demft
1.0,demft
0.5,demft
0.0,demft
0.0,demft
2.0,demft
1.0,demft
0.0,demft
0.5,demft
1.0,demft
4.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
2.5,demft
0.0,demft
0.0,demft
0.0,demft
1.0,demft
1.0,demft
2.5,demft
0.5,demft
2.0,demft
2.0,demft
2.0,demft
0.0,demft
0.0,demft
0.0,demft
2.0,demft
0.0,demft
2.0,demft
1.5,demft
0.0,demft
1.5,demft
0.0,demft
0.0,demft
0.0,demft
1.0,demft
1.0,demft
1.0,demft
1.0,demft
1.5,demft
1.5,demft
1.6666666666666665,demft
2.0,demft
2.0,demft
0.0,demft
0.0,demft
0.0,demft
1.0,demft
0.0,demft
1.0,demft
0.0,demft
1.0,demft
4.0,demft
2.0,demft
0.0,demft
0.0,demft
1.5,demft
0.5,demft
2.0,demft
1.6666666666666667,demft
1.0,demft
1.0,demft
0.0,demft
1.0,demft
2.0,demft
1.6666666666666665,demft
0.0,demft
2.0,demft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
-2.0,repft
-2.0,repft
2.0,repft
0.0,repft
-0.6666666666666666,repft
-1.0,repft
1.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
1.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
2.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
0.0,repft
0.0,repft
-0.5,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-0.5,repft
-0.6666666666666666,repft
-1.0,repft
-1.3333333333333333,repft
0.0,repft
0.0,repft
3.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
1.0,repft
-1.0,repft
0.0,repft
-1.0,repft
0.0,repft
-1.0,repft
0.0,repft
-1.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
-0.5,repft
-1.0,repft
-1.0,repft
1.0,repft
0.0,repft
-1.0,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
1.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-2.0,repft
0.0,repft
0.0,repft
-1.0,repft
3.0,repft
0.0,repft
-1.0,repft
-1.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-0.5,repft
-1.0,repft
-1.0,repft
1.0,repft
1.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-0.5,repft
0.0,repft
-1.0,repft
0.0,repft
-1.0,repft
-1.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
-2.0,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.5,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
-0.5,repft
2.0,repft
2.0,repft
0.0,repft
0.0,repft
-0.3333333333333333,repft
-1.0,repft
0.0,repft
-0.6666666666666666,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
-0.5,repft
-1.0,repft
1.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
0.0,repft
-1.0,repft
-1.0,repft
2.0,repft
0.0,repft
0.0,repft
-1.0,repft
2.0,repft
0.0,repft
0.0,repft
-1.0,repft
1.0,repft
1.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
2.0,repft
2.0,repft
-1.0,repft
0.5,repft
0.5,repft
0.0,repft
-1.0,repft
0.0,repft
4.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.5,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
-0.5,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
0.5,repft
0.0,repft
-1.0,repft
0.0,repft
0.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
-1.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
0.0,repft
